■日本の独立住宅,,■日本の独立住宅,
白い箱型の外観。吹抜けと複数の床レベル。モダニズム木造住宅。,土浦,土浦亀城邸：土浦亀城(つちうら かめき),2024年4月に現在の〈ポーラ青山ビルディング〉敷地内への移築が完了。
切妻屋根の和風、吹抜けの居間を中心に書斎・寝室等を配置。木造住宅。,前川,前川自邸：前川國男(まえかわ くにお),
工業化住宅の先駆け。「15坪住宅」。吹抜けを用い狭小性の克服。,立体,立体最小限住宅：池辺陽(いけべ きよし),
戦後の極限的小住宅の先駆け。3間x3間の9坪の平面。3坪の吹抜け。,増沢,増沢洵邸：増沢洵(ますざわ まこと),
テラス、廊下、居間が連続する開放的な平面。可変家具（移動畳等）空間の変更可能な住宅。 ,斎藤,斎藤助教授の家：清家清(せいけ きよし),
コンクリートを生かした形態と彫りの深い開口。コルビジェのロンシャン礼拝堂のような感じ。外部に対して閉じ「閉鎖性」をつくり出したワンルーム形式の住宅 ,ヴィ,ヴィッラ・クゥクゥ：吉阪隆正(よしざか たかまさ),
4枚の壁柱で正方形の主室を空中に持ち上げ、HPシェルの屋根を設けた構成。住宅生産工業化により設備等の更新が可能な「ムーブネット」。 ,スカ,スカイハウス：菊竹清訓(きくたけ きよのり),
ワンルーム正方形平面に方形屋根を架け、傘の骨のように組まれた木材を内部に現した住宅 ,から,から傘の家：篠原一男(しのはら かずお),
1階の鉄筋コンクリート造のコアの上に、片流れの屋根と2階の居間を中心とした平面計画が特徴である。,軽井,軽井沢の家：吉村順三(よしむら じゅんぞう),
敷地全体を壁(塀)によって囲い込み、四つに分かれた庭が各室に採光と広がりを与えているコートハウス。,正面,正面のない家(N氏邸)：坂倉建築研究所,
小面積で不整形な敷地条件に対し、住空間を機能別に積層して構成した都市住宅である。,塔の,塔の家：東孝光(あずま たかみつ),
1階を生活部分、2階を仕事場に分けた明快な平面構成が特徴。,夫婦,夫婦屋根(めおとやね)の家：山下和正(やました かずまさ),
鉄筋コンクリート造の内側に木構造をおさめた混構造で、中庭のあるコートハウス形式の住宅である。,まつ,まつかわぼっくす：宮脇檀(みやわき まゆみ),
玄関からバルコニーまで降りてゆく中央の吹抜けの両側に居室を配置。トップライトから自然光を取り入れ、住居の中に「都市を埋蔵する」構成を意図。,原広,原広司邸：原広司(はら ひろし),
ファサードに玄関以外の開口部がなく、中央部に中庭を設けた住宅 。,住吉,住吉の長屋：安藤忠雄(あんどう ただお),
街路側が湾曲したロの字型の平面を持ち、外部に閉鎖的な鉄筋コンクリート造の外観が特徴である。,中野,中野本町の家(なかのほんちょう)：伊東豊雄(いとう とよお),
庭と居間とが面する関係を保ちつつ、コンクリートプロック造の住宅を増改築することで、夫婦2人の住まいとした住宅 。,私た,私たちの家：林昌二・林雅子(はやし しょうじ・はやし まさこ),
鉄筋コンクリートの柱の上に鉄骨フレームを架け、上部をアルミやテントで覆った住宅である。,シル,シルバーハット：伊東豊雄(いとう とよお),
■外国の独立住宅,,■外国の独立住宅,
プレーリーハウスの典型例。軒を深く出して水平線を強調し、煙突の垂直線と対比させた住宅 ,ロビ,ロビー邸：フランク・ロイド・ライト,
無彩色と青・赤・黄の三原色との組合せ。デ・ステイルの構成原理。,シュ,シュレーダー邸：リートフェルト,
「近代建築の5原則」として、1ピロティ、2屋上庭園、3自由な平面、4水平連続窓、5自由なファサードを提示し、この原則を具現させた作品 ,サヴ,サヴォア邸：ル・コルビジェ,
南北全面を半透明のガラスブロック壁とし、間仕切り壁にガラスやパンチングメタルを使うことで、内部まで明るい一塊の空間とした住宅 ,ガラ,ガラスの家(ダルザス邸)：ピエール・シャロ―,
2層の床スラブが滝のある渓流の上に張り出し、周囲の自然の眺めを味わえるように意図された住宅,落水,落水荘(らくすいそう)：フランク・ロイド・ライト,
切妻屋根の2棟が組み合わさった形状であり、主棟に対し、居間棟をずらして配置することで、主棟にあるホール（食堂）からも海を見渡せるようにした住宅,夏の,夏の家：グンナール・アスプルンド,
庭と分かち難く結びついた内部空間をもち、居間の奥には庭に面して大きな窓（十字の窓）を設け、積極的に外部を内部に取り込んだ住宅。ピンク等の鮮やかな色彩。,バラ,バラガン自邸：ルイス・バラガン,
不整形敷地に建つ地上4階建ての医院併用住宅であり、台形の平面をもつ医院と矩形の平面をもつ住居は、中庭のスロープによって繋がれている,クル,クルチェット邸：ル・コルビジェ,
"広大な敷地の中に立つ別荘で、暖炉とコアによる明快な平面構成をもつ。
外壁がガラス。 ",ガラ,ガラスの家：フィリップ・ジョンソン,
再組立が可能という理念のもと、形鋼やスチールサッシ等の工業製品を用いて建築された住宅である。,イー,イームズ自邸：チャールズ＆レイ・イームズ,
鉄骨造の特徴を生かした、ユニバーサル空間をもつ。,ファ,ファンズワース邸：ミース・ファン・デル・ローエ,
4軒長屋を改造・改築することにより、路地を長い回廊に置き換え、アプローチから建築物の深部に至るまでに坪庭が随所に設けられた住宅である。 ,バワ,バワ自邸(Number11)：ジェフリー・バワ,ジェフリー・バワは「アジアリゾートの父」とも言われている
二つの矩形のボリュームが45度の角度をもって接合され、一方には2層の個室群が配置され、もう一方には2層分の高さの居間をもつ、幾何学的な構成の住宅 ,フィ,フィッシャー邸：ルイス・カーン,
ショッキングピンクの外観で、壁のスリット、室内のプール、中庭などが設けられ、光が室内の様々な色の壁や水面に降り注ぎ、光と色が競演する空間となっている。,ヒラ,ヒラルディ邸(ギラルディ邸)：ルイス・バラガン,
既存の木造住宅に、安価な材料である金網やトタン板、ベニヤ板の断片等を組み合わせて増改築を行った、ポストモダンを代表する住宅 。,ゲー,ゲーリー自邸：フランク・O・ゲーリー,
■日本の集合住宅,,■日本の集合住宅,
関東大震災後の住宅難に対処するために設立された同潤会による鉄筋コンクリート造の都市型アパート ,同潤,同潤会江戸川アパート：同潤会,
住生活の多様化に対応するために、食事室と台所を一体化したDKおよび食事室と寝室を分離した食寝分離 計画である。 ,公営,公営住宅標準設計51C型：東京大学 吉武泰水研究室(よしたけ やすみ),
2戸×3層の6住戸を1単位とし、3層ごとに共用廊下を設け、そこから上下階の住戸に階段でアクセスするスキップアクセス形式を採用した都市型高層賃貸集合住宅 。,晴海,晴海高層アパート：前川國男,
解体せずに再生・活用する技術的手法を検証するため、解体予定の住棟を用いてストック再生実証試験が行われた団地である。,ひば,ひばりが丘団地：竹中工務店＋都市再生機構,
高度成長期に建設された中層集合住宅を中心とする郊外型大規模住宅団地。,草加,草加松原団地：旧日本住宅公団,
