【換気】,【001換気】
"機械換気の種類
・第一種換気：○○が機械
・第二種換気：○○が機械
・第三種換気：○○が機械","機械換気の種類
・第一種換気：給排気が機械（換気量を安定させたい場合。映画館等の大空間、地下空間等）
・第二種換気：給気が機械（外部の空気を入れたくない。オペ室等）
・第三種換気：排気が機械（汚れた空気を外に出したくない。トイレ、厨房等）"
"自然換気の種類
・風○○換気：窓を開ける等
・重○○換気：煙突効果使った換気等","自然換気の種類
・風力換気：窓を開ける等
・重力換気：煙突効果使った換気等"
"自然換気量の式
・自然換気量の基本式：Q∝αA√(⊿P)
・風力換気量：Q∝αAV√(⊿C)
・温度差換気量：Q∝αA√(⊿h⊿t)","自然換気量の式
・自然換気量の基本式：Q∝αA√(⊿P)
・風力換気量：Q∝αAV√(⊿C)
・温度差換気量：Q∝αA√(⊿h⊿t)"
"空気汚染物質の許容量：令129条の2
①浮遊粉じん：○○mg/m3
②一酸化炭素：○○ppm以下
③CO2：○○ppm以下
④温度：○○度～○○度。（外気より低くする場合は、差を大きくしすぎない）
⑤相対湿度：○○%～○○%（20~30度で、湿度60%を超えるとカビの発育が促進される）
⑥気流：○○m/s以下
⑤ホルムアルデヒド：○○mg/m3","空気汚染物質の許容量：令129条の2
①浮遊粉じん：0.15mg/m3
②一酸化炭素：6ppm以下
③CO2：1000ppm以下
④温度：18度～28度。（外気より低くする場合は、差を大きくしすぎない）
⑤相対湿度：40%～70%（20~30度で、湿度60%を超えるとカビの発育が促進される）
⑥気流：0.5m/s以下
⑤ホルムアルデヒド：0.1mg/m3"
"VOCとは
・揮発性有機化合物（VOC）
・トル○○、キシ○○、エチルベ○○、スチ○○等のこと

VVOCとは
・特にホ○○は高揮発性有機化合物（VVOC）と呼ばれている。","VOCとは
・揮発性有機化合物（VOC）
・トルエン、キシレン、エチルベンゼン、スチレン等のこと
・特にホルムアルデヒドは高揮発性有機化合物（VVOC）と呼ばれている。"
"サイデルの式：CO2対する必要換気量
・Q=k/(P○○-P○○)

k=CO2の発生量(m3/h)
Pi=室内のCO2濃度
Po=室外のCO2濃度

※ちなみに
%=1/100(パーセント。セントは100)
ppm=1/1000000(0が6個。mはミリオン100万）","サイデルの式：CO2対する必要換気量
・Q=k/(P室内-P屋外)

k=CO2の発生量(m3/h)
P室内=室内のCO2濃度
P屋外=屋外のCO2濃度

※ちなみに
%=1/100(パーセント。セントは100)
ppm=1/1000000(0が6個。mはミリオン100万）"
"サイデルの式：汚染物質に対する必要換気量
・Q=○○/(○○-○○)

k：汚染物質発生量（kg/h）
Pi：室内の汚染物質許容濃度(kg/m3)
Po：屋外の汚染物質濃度(kg/m3)","サイデルの式：汚染物質に対する必要換気量
・Q=k/(P室内-P屋外)

k：汚染物質発生量（kg/h）
P室内：室内の汚染物質許容濃度(kg/m3)
P屋外：屋外の汚染物質濃度(kg/m3)"
"サイデルの式：排熱対する必要換気量
・Q=H/1.2(ti-t0)

ti=室内の許容温度
t0=室外の外気温度
1.2=空気の容積比熱","サイデルの式：排熱対する必要換気量
・Q=H/1.2(t室内-t屋外)

t室内=室内の許容温度
t屋外=室外の外気温度
1.2=空気の容積比熱"
"サイデルの式：排湿対する必要換気量
・Q=W/1.2(xi-x0)

W=水蒸気の発生量（kg/h)
xi=室内の許容湿度(kg/kg(DA)
x0=室外の外気湿度(kg/kg(DA)
1.2=空気密度(kg/m3)","サイデルの式：排湿対する必要換気量
・Q=W/1.2(x室内-x屋外)

W=水蒸気の発生量（kg/h)
x室内=室内の許容湿度(kg/kg(DA)
x屋外=屋外の外気湿度(kg/kg(DA)
1.2=空気密度(kg/m3)"
"「十分に時間が経過した後の室内空気のCO2濃度」というのは、サイデル式の○○のCO2濃度に該当する。
なので、式を変形して対応する。
・Pi=k/Q+P0
のように。","「十分に時間が経過した後の室内空気のCO2濃度」というのは、サイデル式の室内のCO2濃度に該当する。
なので、式を変形して対応する。
・Pi=k/Q+P0
のように。"
